# full_idealized_MIEZE_4p5A_sx_sy_sz_300kHz# t, y, Sx, Sy, Sz
0.00521111783526174, 4.581190974350275, 0.9190484322594505, 0.30339837809292536, -0.25159371552916343
0.0052511178352617404, 4.616355721102697, 0.9337209233606261, 0.3083361248546853, -0.18191774421295068
0.0052911178352617405, 4.65152046785512, 0.9431016708362351, 0.3132644640325071, -0.11146572666810499
0.005331117835261741, 4.686685214607542, 0.9471577438425262, 0.31818324525880753, -0.0406401870979813
0.005371117835261741, 4.721849961359965, 0.9458868704312877, 0.3230923184576245, 0.030155863471715394
0.005411117835261741, 4.757014708112387, 0.9393173175000894, 0.32799153384919527, 0.1005212648204083
0.005451117835261741, 4.79217945486481, 0.9275075923724934, 0.332880741954527, 0.17005902373007556
0.005491117835261741, 4.827344201617232, 0.9105459686061075, 0.33775979359995706, 0.2383785951362561
0.005531117835261741, 4.862508948369655, 0.8885498396659133, 0.3426285399217046, 0.3050981148903579
0.005571117835261741, 4.897673695122077, 0.8616649051129514, 0.3474868323704125, 0.3698465711444328
0.005611117835261741, 4.9328384418745, 0.8300641949381264, 0.35233452271567955, 0.43226590179984264
0.0056511178352617415, 4.9680031886269225, 0.7939469386117848, 0.35717146305058345, 0.49201300596532854
0.005691117835261742, 5.003167935379345, 0.7535372863162613, 0.3619975057961933, 0.5487616579444811
0.005731117835261742, 5.0383326821317675, 0.7090828906755323, 0.3668125037060722, 0.6022043129136389
0.005771117835261742, 5.07349742888419, 0.6608533580885255, 0.37161630987077043, 0.652053794154583
0.005811117835261742, 5.108662175636613, 0.6091385795059491, 0.3764087777223071, 0.6980448524674332
0.005851117835261742, 5.143826922389035, 0.5542469511605456, 0.3811897610386424, 0.7399355892029602
0.005891117835261742, 5.178991669141458, 0.4965034963636658, 0.38595911394813903, 0.7775087352148587
0.005931117835261742, 5.21415641589388, 0.4362479000136684, 0.3907166909340126, 0.8105727789358845
0.005971117835261742, 5.249321162646303, 0.37383246792098646, 0.39546234683877185, 0.838962937721397
0.006011117835261742, 5.284485909398725, 0.30962002343834877, 0.400195936868647, 0.8625419675738494
0.0060511178352617425, 5.319650656151148, 0.243981754190652, 0.40491731659800795, 0.8812008073560301
0.006091117835261743, 5.35481540290357, 0.17729502192590363, 0.4096263419737706, 0.894859054613186
0.006131117835261743, 5.389980149655993, 0.10994114865553406, 0.4143228693197923, 0.9034652711482616
